"","year","county","detections","ppt","tmin","tmax","tot_population","med_income","presence","tmean","county_x","county_y","neighbour_detections","presence_t1"
"267",2019,"greene",0,1280.94189453125,5.39534282684326,17.3169975280762,36870,54776,"no detection",11.3561701774597,1331685.00992925,1981394.03791595,0,"no detection"
"268",2020,"greene",0,1093.65502929688,5.66109609603882,17.4427261352539,36484,55993,"no detection",11.5519111156464,1331685.00992925,1981394.03791595,0,"no detection"
"269",2021,"greene",0,1096.24743652344,5.38217830657959,17.3562774658203,36248,57497,"no detection",11.3692278862,1331685.00992925,1981394.03791595,0,"no detection"
"270",2022,"greene",0,1143.38134765625,4.19750642776489,16.7480392456055,35781,66283,"no detection",10.4727728366852,1331685.00992925,1981394.03791595,1,"detection"
"271",2014,"huntingdon",0,970.57763671875,3.81262278556824,14.5327339172363,45950,44163,"no detection",9.17267835140228,1506882.34573775,2076926.917416,0,"no detection"
"272",2015,"huntingdon",0,976.94384765625,4.92119312286377,15.9467878341675,45906,44396,"no detection",10.4339904785156,1506882.34573775,2076926.917416,0,"no detection"
"273",2016,"huntingdon",0,797.4931640625,5.5804123878479,16.8500270843506,45844,45250,"no detection",11.2152197360992,1506882.34573775,2076926.917416,0,"no detection"
"274",2017,"huntingdon",0,1096.46862792969,5.7584342956543,16.2513370513916,45686,46765,"no detection",11.0048856735229,1506882.34573775,2076926.917416,0,"no detection"
"275",2018,"huntingdon",0,1611.87707519531,5.74086904525757,15.2605295181274,45421,48597,"no detection",10.5006992816925,1506882.34573775,2076926.917416,1,"no detection"
"276",2019,"huntingdon",0,1159.87060546875,5.51312065124512,15.9904193878174,45369,51678,"no detection",10.7517700195312,1506882.34573775,2076926.917416,0,"no detection"
"277",2020,"huntingdon",0,1022.52435302734,6.12720441818237,16.8230781555176,45145,53597,"no detection",11.47514128685,1506882.34573775,2076926.917416,0,"detection"
"278",2021,"huntingdon",2,1136.291015625,6.14618349075317,16.6021461486816,44458,57055,"detection",11.3741648197174,1506882.34573775,2076926.917416,10,"detection"
"279",2022,"huntingdon",20,1086.42370605469,4.7014536857605,16.1920051574707,44123,61300,"detection",10.4467294216156,1506882.34573775,2076926.917416,62,"detection"
"280",2014,"indiana",0,1131.76831054688,2.78849124908447,13.941990852356,88301,45168,"no detection",8.36524105072021,1410688.63521183,2085847.06994013,0,"no detection"
"281",2015,"indiana",0,1365.33935546875,4.00755929946899,15.5092744827271,87895,45195,"no detection",9.75841689109802,1410688.63521183,2085847.06994013,0,"no detection"
"282",2016,"indiana",0,1107.15026855469,4.5758581161499,16.2449359893799,87491,45118,"no detection",10.4103970527649,1410688.63521183,2085847.06994013,0,"no detection"
"283",2017,"indiana",0,1317.43115234375,4.74449586868286,15.7784080505371,86551,46306,"no detection",10.26145195961,1410688.63521183,2085847.06994013,0,"no detection"
"284",2018,"indiana",0,1766.41235351562,4.82166481018066,14.7494697570801,85755,46877,"no detection",9.78556728363037,1410688.63521183,2085847.06994013,0,"no detection"
"285",2019,"indiana",0,1335.22436523438,4.46122646331787,15.461446762085,85032,49320,"no detection",9.96133661270142,1410688.63521183,2085847.06994013,0,"no detection"
"286",2020,"indiana",0,1183.26025390625,4.88539028167725,16.1008071899414,84463,49270,"no detection",10.4930987358093,1410688.63521183,2085847.06994013,0,"no detection"
"287",2021,"indiana",0,1217.06188964844,4.85151481628418,15.89781665802,83620,52546,"no detection",10.3746657371521,1410688.63521183,2085847.06994013,8,"no detection"
"288",2022,"indiana",0,1296.6787109375,3.45908808708191,15.4184589385986,83394,57170,"no detection",9.43877351284027,1410688.63521183,2085847.06994013,28,"no detection"
"289",2014,"jefferson",0,1197.01281738281,2.2238986492157,13.1711530685425,44935,42295,"no detection",7.69752585887909,1408490.22360905,2139638.86573268,0,"no detection"
"290",2015,"jefferson",0,1318.76708984375,3.20194315910339,14.6647710800171,44756,42903,"no detection",8.93335711956024,1408490.22360905,2139638.86573268,0,"no detection"
"291",2016,"jefferson",0,1075.62963867188,3.79609036445618,15.5219469070435,44575,43913,"no detection",9.65901863574982,1408490.22360905,2139638.86573268,0,"no detection"
"292",2017,"jefferson",0,1273.67700195312,4.01607656478882,14.880805015564,44258,45342,"no detection",9.44844079017639,1408490.22360905,2139638.86573268,0,"no detection"
"293",2018,"jefferson",0,1604.70568847656,4.01857900619507,13.9175424575806,44084,46818,"no detection",8.96806073188782,1408490.22360905,2139638.86573268,0,"no detection"
"294",2019,"jefferson",0,1381.22424316406,3.50357294082642,14.4524812698364,43846,47603,"no detection",8.97802710533142,1408490.22360905,2139638.86573268,0,"no detection"
"295",2020,"jefferson",0,1121.26477050781,4.28990650177002,15.2380428314209,43570,49604,"no detection",9.76397466659546,1408490.22360905,2139638.86573268,0,"no detection"
"296",2021,"jefferson",0,1145.20751953125,4.44219589233398,15.1041297912598,44491,52815,"no detection",9.77316284179688,1408490.22360905,2139638.86573268,0,"no detection"
"297",2022,"jefferson",0,1152.17492675781,3.04870200157166,14.6073484420776,44326,56607,"no detection",8.82802522182465,1408490.22360905,2139638.86573268,0,"detection"
"298",2014,"juniata",0,1118.12512207031,3.55650305747986,14.6945838928223,24793,47269,"no detection",9.12554347515106,1552163.57993104,2098832.42856611,0,"no detection"
"299",2015,"juniata",0,1015.71704101562,4.57182502746582,15.98863697052,24829,47398,"no detection",10.2802309989929,1552163.57993104,2098832.42856611,0,"no detection"
"300",2016,"juniata",0,831.075988769531,5.18021631240845,17.0458736419678,24811,49028,"no detection",11.1130449771881,1552163.57993104,2098832.42856611,0,"no detection"
"301",2017,"juniata",0,1090.76049804688,5.28253650665283,16.3856010437012,24448,50571,"no detection",10.834068775177,1552163.57993104,2098832.42856611,0,"no detection"
"302",2018,"juniata",0,1627.49584960938,5.38379573822021,15.4271450042725,24562,52765,"no detection",10.4054703712463,1552163.57993104,2098832.42856611,0,"no detection"
"303",2019,"juniata",0,1186.59838867188,5.21390295028687,16.1965599060059,24624,53879,"no detection",10.7052314281464,1552163.57993104,2098832.42856611,3,"no detection"
"304",2020,"juniata",0,1032.298828125,5.78092765808105,16.9738121032715,24657,53502,"no detection",11.3773698806763,1552163.57993104,2098832.42856611,27,"detection"
"305",2021,"juniata",1,1189.08129882812,5.96213531494141,16.8786125183105,23607,56382,"detection",11.420373916626,1552163.57993104,2098832.42856611,210,"detection"
"306",2022,"juniata",7,1118.7578125,4.69064950942993,16.5223007202148,23535,61915,"detection",10.6064751148224,1552163.57993104,2098832.42856611,205,"detection"
"307",2014,"lackawanna",0,967.276428222656,2.11089372634888,12.9341764450073,214023,46056,"no detection",7.5225350856781,1678060.84823051,2228579.80016937,0,"no detection"
"308",2015,"lackawanna",0,980.015380859375,3.01527333259583,14.1652278900146,213459,46271,"no detection",8.59025061130524,1678060.84823051,2228579.80016937,0,"no detection"
"309",2016,"lackawanna",0,1020.41772460938,3.5634708404541,14.9567174911499,213006,46673,"no detection",9.260094165802,1678060.84823051,2228579.80016937,0,"no detection"
"310",2017,"lackawanna",0,1174.2802734375,3.77949452400208,14.3743534088135,211960,48380,"no detection",9.07692396640778,1678060.84823051,2228579.80016937,1,"no detection"
"311",2018,"lackawanna",0,1674.30432128906,3.78415060043335,13.4822463989258,211454,50875,"no detection",8.63319849967957,1678060.84823051,2228579.80016937,1,"no detection"
"312",2019,"lackawanna",0,1358.98461914062,3.40522885322571,13.9273862838745,210652,52821,"no detection",8.66630756855011,1678060.84823051,2228579.80016937,6,"no detection"
"313",2020,"lackawanna",0,1117.65051269531,4.41360998153687,14.9371862411499,210162,54064,"no detection",9.67539811134338,1678060.84823051,2228579.80016937,44,"detection"
"314",2021,"lackawanna",4,1444.671875,4.59061527252197,14.5846557617188,215529,58366,"detection",9.58763551712036,1678060.84823051,2228579.80016937,62,"detection"
"315",2022,"lackawanna",24,1281.36865234375,3.55475902557373,14.5165405273438,215672,63739,"detection",9.03564977645874,1678060.84823051,2228579.80016937,56,"detection"
"316",2014,"lancaster",0,1249.68579101562,5.39640998840332,15.8958873748779,526839,57120,"no detection",10.6461486816406,1658514.99805219,2064697.34434099,0,"no detection"
"317",2015,"lancaster",0,1114.05712890625,6.52332592010498,17.0991992950439,530216,57721,"no detection",11.8112626075745,1658514.99805219,2064697.34434099,1,"no detection"
"318",2016,"lancaster",0,1016.53210449219,7.05926418304443,17.9294815063477,533110,59237,"no detection",12.494372844696,1658514.99805219,2064697.34434099,4,"no detection"
"319",2017,"lancaster",0,1058.32202148438,7.32482099533081,17.5889530181885,536494,61492,"no detection",12.4568870067596,1658514.99805219,2064697.34434099,26,"detection"
"320",2018,"lancaster",14,1764.41430664062,7.24807643890381,16.6966934204102,538347,63823,"detection",11.972384929657,1658514.99805219,2064697.34434099,118,"detection"
"321",2019,"lancaster",86,1332.7861328125,7.04378080368042,17.3650665283203,540999,66056,"detection",12.2044236660004,1658514.99805219,2064697.34434099,265,"detection"
"322",2020,"lancaster",178,1284.29357910156,7.63994884490967,17.967414855957,543050,69588,"detection",12.8036818504333,1658514.99805219,2064697.34434099,381,"detection"
"323",2021,"lancaster",162,1238.45141601562,7.53328037261963,17.8429489135742,550480,73688,"detection",12.6881146430969,1658514.99805219,2064697.34434099,675,"detection"
"324",2022,"lancaster",96,1211.41479492188,6.50716257095337,17.4367561340332,553202,81458,"detection",11.9719593524933,1658514.99805219,2064697.34434099,490,"detection"
"325",2014,"lawrence",0,1080.90734863281,2.97700929641724,14.3475799560547,89859,43991,"no detection",8.66229462623596,1301423.46023987,2105508.61571393,0,"no detection"
"326",2015,"lawrence",0,1115.05187988281,3.96928000450134,15.9638948440552,89162,44571,"no detection",9.96658742427826,1301423.46023987,2105508.61571393,0,"no detection"
"327",2016,"lawrence",0,987.080749511719,4.81140804290771,16.7602233886719,88528,45764,"no detection",10.7858157157898,1301423.46023987,2105508.61571393,0,"no detection"
"328",2017,"lawrence",0,1167.86608886719,5.12157535552979,16.2116184234619,88231,47188,"no detection",10.6665968894958,1301423.46023987,2105508.61571393,0,"no detection"
"329",2018,"lawrence",0,1449.40588378906,4.93212080001831,15.1676549911499,87382,48860,"no detection",10.0498878955841,1301423.46023987,2105508.61571393,0,"no detection"
"330",2019,"lawrence",0,1359.08898925781,4.40243244171143,15.6505327224731,86727,50204,"no detection",10.0264825820923,1301423.46023987,2105508.61571393,0,"no detection"
"331",2020,"lawrence",0,1158.66320800781,5.35447931289673,16.1238975524902,86148,50080,"no detection",10.7391884326935,1301423.46023987,2105508.61571393,0,"no detection"
"332",2021,"lawrence",0,1022.56494140625,5.23792314529419,16.1431140899658,86311,53106,"no detection",10.69051861763,1301423.46023987,2105508.61571393,4,"detection"
"333",2022,"lawrence",1,1121.021484375,4.35809421539307,15.4935750961304,85907,57585,"detection",9.92583465576172,1301423.46023987,2105508.61571393,25,"detection"
"334",2014,"lebanon",0,1132.50402832031,4.64616203308105,15.2366409301758,135184,56173,"no detection",9.94140148162842,1633695.65672129,2096685.03864506,0,"no detection"
"335",2015,"lebanon",0,1180.05517578125,5.64921188354492,16.4847774505615,135776,55499,"no detection",11.0669946670532,1633695.65672129,2096685.03864506,1,"no detection"
"336",2016,"lebanon",0,1026.62609863281,6.30930089950562,17.4313945770264,136950,56191,"no detection",11.870347738266,1633695.65672129,2096685.03864506,4,"detection"
"337",2017,"lebanon",1,1214.71301269531,6.46657276153564,16.8821926116943,137616,57698,"detection",11.674382686615,1633695.65672129,2096685.03864506,18,"no detection"
"338",2018,"lebanon",0,1966.68676757812,6.47629594802856,16.070333480835,138674,59114,"no detection",11.2733147144318,1633695.65672129,2096685.03864506,98,"detection"
"339",2019,"lebanon",7,1407.23107910156,6.30979633331299,16.7225914001465,139729,60281,"detection",11.5161938667297,1633695.65672129,2096685.03864506,156,"detection"
"340",2020,"lebanon",35,1236.57556152344,6.73920822143555,17.4710140228271,140410,61632,"detection",12.1051111221313,1633695.65672129,2096685.03864506,566,"detection"
"341",2021,"lebanon",28,1179.88732910156,6.583824634552,17.4481086730957,142486,66164,"detection",12.0159666538239,1633695.65672129,2096685.03864506,734,"detection"
"342",2022,"lebanon",32,1131.19482421875,5.51998472213745,16.9824028015137,143258,72532,"detection",11.2511937618256,1633695.65672129,2096685.03864506,418,"detection"
"343",2014,"lehigh",0,1249.71643066406,4.21754312515259,15.1917991638184,354537,55681,"no detection",9.70467114448547,1699090.98269512,2138751.35764889,0,"no detection"
"344",2015,"lehigh",0,1157.99426269531,5.11187839508057,16.4246978759766,356756,56117,"no detection",10.7682881355286,1699090.98269512,2138751.35764889,1,"detection"
"345",2016,"lehigh",1,1066.14916992188,5.66989183425903,17.4651889801025,358792,57685,"detection",11.5675404071808,1699090.98269512,2138751.35764889,5,"detection"
"346",2017,"lehigh",11,1269.25695800781,5.87800216674805,16.7598323822021,360774,60116,"detection",11.3189172744751,1699090.98269512,2138751.35764889,40,"detection"
"347",2018,"lehigh",40,1910.52209472656,5.9148473739624,16.0714950561523,362613,62178,"detection",10.9931712150574,1699090.98269512,2138751.35764889,262,"detection"
"348",2019,"lehigh",50,1586.03588867188,5.6404070854187,16.5783596038818,365052,63897,"detection",11.1093833446503,1699090.98269512,2138751.35764889,592,"detection"
"349",2020,"lehigh",105,1396.82238769531,6.34729814529419,17.3026313781738,367338,66214,"detection",11.824964761734,1699090.98269512,2138751.35764889,1129,"detection"
"350",2021,"lehigh",44,1265.99267578125,6.39968967437744,16.9245014190674,372492,69440,"detection",11.6620955467224,1699090.98269512,2138751.35764889,750,"detection"
"351",2022,"lehigh",41,1268.25158691406,5.41555976867676,16.6219234466553,374110,74973,"detection",11.018741607666,1699090.98269512,2138751.35764889,474,"detection"
"352",2014,"luzerne",0,1011.45654296875,2.90771484375,13.5989542007446,320392,45118,"no detection",8.25333452224731,1653330.26407699,2193508.39223644,0,"no detection"
"353",2015,"luzerne",0,1056.39538574219,4.04550266265869,14.8258352279663,320095,45897,"no detection",9.4356689453125,1653330.26407699,2193508.39223644,0,"no detection"
"354",2016,"luzerne",0,990.130126953125,4.4687180519104,15.6686630249023,318917,46577,"no detection",10.0686905384064,1653330.26407699,2193508.39223644,0,"no detection"
"355",2017,"luzerne",0,1141.19030761719,4.45935678482056,15.3496084213257,318222,49290,"no detection",9.90448260307312,1653330.26407699,2193508.39223644,1,"no detection"
"356",2018,"luzerne",0,1767.89282226562,4.45642375946045,14.3737859725952,317884,51646,"no detection",9.41510486602783,1653330.26407699,2193508.39223644,4,"detection"
"357",2019,"luzerne",1,1361.68994140625,4.06788396835327,14.6948518753052,317663,53473,"detection",9.38136792182922,1653330.26407699,2193508.39223644,15,"detection"
"358",2020,"luzerne",5,1142.08361816406,4.98662328720093,15.5685014724731,317547,53194,"detection",10.277562379837,1653330.26407699,2193508.39223644,361,"detection"
"359",2021,"luzerne",14,1336.87255859375,5.10849094390869,15.2893381118774,324825,56534,"detection",10.1989145278931,1653330.26407699,2193508.39223644,173,"detection"
"360",2022,"luzerne",29,1292.76782226562,4.031662940979,15.0799865722656,325396,60836,"detection",9.55582475662231,1653330.26407699,2193508.39223644,180,"detection"
"361",2014,"lycoming",0,975.439086914062,1.94225192070007,13.1357259750366,116676,45877,"no detection",7.53898894786835,1562032.31660153,2193573.91169904,0,"no detection"
"362",2015,"lycoming",0,1022.16851806641,2.94910955429077,14.3305978775024,116656,47313,"no detection",8.63985371589661,1562032.31660153,2193573.91169904,0,"no detection"
"363",2016,"lycoming",0,902.791625976562,3.76597023010254,15.4415826797485,116313,48731,"no detection",9.60377645492554,1562032.31660153,2193573.91169904,0,"no detection"
"364",2017,"lycoming",0,1138.27844238281,3.84758067131042,14.7848091125488,115398,50634,"no detection",9.31619489192963,1562032.31660153,2193573.91169904,0,"no detection"
"365",2018,"lycoming",0,1644.14331054688,3.85806226730347,13.8208293914795,114859,52407,"no detection",8.83944582939148,1562032.31660153,2193573.91169904,0,"no detection"
"366",2019,"lycoming",0,1263.08410644531,3.28692173957825,14.1346759796143,114330,54241,"no detection",8.71079885959625,1562032.31660153,2193573.91169904,0,"detection"
"367",2020,"lycoming",3,997.583984375,4.26596403121948,15.3149967193604,114014,54906,"detection",9.79048037528992,1562032.31660153,2193573.91169904,0,"no detection"
"368",2021,"lycoming",0,1228.49169921875,4.72565317153931,15.3094778060913,114274,58177,"no detection",10.0175654888153,1562032.31660153,2193573.91169904,5,"detection"
"369",2022,"lycoming",4,1136.29418945312,3.31257224082947,15.0039186477661,114022,63437,"detection",9.15824544429779,1562032.31660153,2193573.91169904,11,"detection"
"370",2014,"mckean",0,1225.724609375,0.361054807901382,11.6493368148804,43024,42913,"no detection",6.00519581139088,1429875.07742623,2220897.86316369,0,"no detection"
"371",2015,"mckean",0,1214.06384277344,0.946376264095306,13.0180559158325,42884,43965,"no detection",6.98221608996391,1429875.07742623,2220897.86316369,0,"no detection"
"372",2016,"mckean",0,1130.14501953125,2.09029388427734,14.0172071456909,42609,44023,"no detection",8.05375051498413,1429875.07742623,2220897.86316369,0,"no detection"
"373",2017,"mckean",0,1283.63549804688,2.39795994758606,13.5080080032349,42070,45866,"no detection",7.95298397541046,1429875.07742623,2220897.86316369,0,"no detection"
